🚀 Servidor rodando na porta 3000
🌍 Ambiente: development
📊 Health check: http://localhost:3000/health
📱 Para simulador: http://192.168.1.204:3000/health
192.168.1.204 - - [15/Aug/2025:12:53:17 +0000] "GET /health HTTP/1.1" 200 100 "-" "curl/8.7.1"
192.168.1.204 - - [15/Aug/2025:12:53:25 +0000] "GET /health HTTP/1.1" 200 100 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
192.168.1.204 - - [15/Aug/2025:12:55:56 +0000] "GET /health HTTP/1.1" 200 100 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
192.168.1.204 - - [15/Aug/2025:12:56:00 +0000] "GET /health HTTP/1.1" 200 100 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
192.168.1.180 - - [15/Aug/2025:12:56:21 +0000] "GET /health HTTP/1.1" 200 100 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1"
192.168.1.180 - - [15/Aug/2025:13:04:17 +0000] "GET /health HTTP/1.1" 200 100 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1"
192.168.1.204 - - [15/Aug/2025:13:06:07 +0000] "POST /api/auth/login HTTP/1.1" 200 365 "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:06:18 +0000] "GET /api/auth/users?role=USER HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:06:18 +0000] "GET /api/auth/users?role=USER HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:06:18 +0000] "GET /api/products HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
192.168.1.204 - - [15/Aug/2025:13:06:18 +0000] "GET /api/terminals HTTP/1.1" 200 - "-" "Dart/3.7 (dart:io)"
